"year","resp_count","country_code","metric_code","mean","sd","lobound_10","upbound_90"
2019,3,"WSM","vdisab",5.0825095,1.3551682,3.3478942,6.8171248
2019,3,"WSM","vmvpfaff",5.5028944,".78471309",4.4984617,6.5073271
2019,3,"WSM","vwomen",3.4952843,".9775579",2.2440102,4.7465582
2019,3,"WSM","climate",4,1,,
2019,3,"WSM","indigsov",3.6666667,".57735026",,
2019,3,"WSM","indigland",3.6666667,".57735026",,
2019,3,"WSM","culture",5.3333335,".57735026",,
2020,7,"WSM","vchild",3.7909284,".67506605",2.9268439,4.6550131
2020,7,"WSM","vdisab",5.562645,1.029147,4.2453365,6.8799534
2020,7,"WSM","vmvpfaff",3.9540813,".96581632",2.7178364,5.1903262
2020,7,"WSM","vwomen",3.2492187,".88910747",2.1111612,4.3872762
2020,7,"WSM","climate",3.5714285,1.3972763,,
2020,7,"WSM","indigsov",4.4285712,1.1338934,,
2020,7,"WSM","indigland",4.1428571,1.5735916,,
2020,7,"WSM","culture",5,1.4142135,,
2019,5,"SLB","vchild",2.5777183,".87656158",1.4557195,3.699717
2019,5,"SLB","vdisab",3.7544317,1.1396358,2.2956979,5.2131658
2019,5,"SLB","vmvpfaff",6.9246736,".89068317",5.7845993,8.0647478
2019,5,"SLB","vwomen",2.0183084,".80724442",".98503554",3.0515811
2019,5,"SLB","climate",4.5999999,1.3416408,,
2019,5,"SLB","indigsov",4.1999998,".44721359",,
2019,5,"SLB","indigland",5,1,,
2019,5,"SLB","culture",2.5999999,1.8165902,,
2020,6,"SLB","vchild",3.5988805,".6724177",2.7381859,4.4595752
2020,6,"SLB","vdisab",4.1730537,1.1686736,2.6771514,5.6689558
2020,6,"SLB","vmvpfaff",3.7886083,1.2925565,2.134136,5.4430809
2020,6,"SLB","vwomen",1.6900907,".80391377",".66108102",2.7191002
2020,6,"SLB","climate",4.8333335,".98319209",,
2020,6,"SLB","indigsov",3.5,1.3784049,,
2020,6,"SLB","indigland",4,1.0954452,,
2020,6,"SLB","culture",3.1666667,1.7224014,,
2019,12,"TON","vchild",4.748281,".70389903",3.8472903,5.649272
2019,12,"TON","vdisab",5.248313,".79459924",4.231226,6.2653999
2019,12,"TON","vmvpfaff",4.908371,".73358935",3.9693766,5.8473654
2019,12,"TON","vwomen",4.0295167,".65631586",3.1894324,4.8696008
2019,12,"TON","climate",4,1.4142135,,
2019,12,"TON","indigsov",3.9166667,1.9286516,,
2019,12,"TON","indigland",3.5,1.4459976,,
2019,12,"TON","culture",4.6666665,1.7232809,,
2020,8,"TON","vchild",4.1992426,".85416865",3.1059067,5.2925787
2020,8,"TON","vdisab",4.8988309,1.1462085,3.431684,6.3659778
2020,8,"TON","vmvpfaff",5.636251,1.0351275,4.3112879,6.9612141
2020,8,"TON","vwomen",4.2729969,".75313365",3.3089857,5.2370081
2020,8,"TON","climate",3.75,1.6690459,,
2020,8,"TON","indigsov",4.625,1.187735,,
2020,8,"TON","indigland",4,1.6035675,,
2020,8,"TON","culture",4.75,1.2817398,,
2020,3,"TUV","vchild",5.9123816,2.2214334,3.0689468,8.7558165
2020,3,"TUV","vdisab",4.5867019,2.0295444,1.988885,7.1845188
2020,3,"TUV","vmvpfaff",5.1442628,1.946864,2.6522768,7.6362486
2020,3,"TUV","vwomen",5.1366358,1.9420891,2.6507618,7.62251
2020,3,"TUV","climate",5.3333335,".57735026",,
2020,3,"TUV","indigsov",4,1.7320508,,
2020,3,"TUV","indigland",5.3333335,".57735026",,
2020,3,"TUV","culture",5,1,,
2019,4,"VUT","vchild",4.0093851,1.6002508,1.961064,6.0577064
2019,4,"VUT","vdisab",4.7649312,1.836307,2.4144583,7.1154041
2019,4,"VUT","vmvpfaff",4.1790686,1.7167194,1.9816678,6.3764696
2019,4,"VUT","vwomen",1.4949669,1.0587577,".13975705",2.8501766
2019,4,"VUT","climate",4.75,1.2583058,,
2019,4,"VUT","indigsov",3.75,1.5,,
2019,4,"VUT","indigland",3.5,1.2909944,,
2019,4,"VUT","culture",5,".81649661",,
2020,7,"VUT","vchild",2.7784472,".75279933",1.814864,3.7420304
2020,7,"VUT","vdisab",2.7439759,1.3950453,".95831794",4.529634
2020,7,"VUT","vmvpfaff",2.8557026,1.5206621,".90925521",4.8021502
2020,7,"VUT","vwomen",1.1638569,".968651","-.076016411",2.4037302
2020,7,"VUT","climate",5.2857141,".95118976",,
2020,7,"VUT","indigsov",4.1428571,1.4638501,,
2020,7,"VUT","indigland",5.5714288,".53452247",,
2020,7,"VUT","culture",5.5714288,".53452247",,
2019,11,"PNG","vchild",1.8619854,".63691688",1.0467318,2.6772389
2019,11,"PNG","vdisab",2.3550258,".79168248",1.3416722,3.3683794
2019,11,"PNG","vmvpfaff",2.1366284,".7241531",1.2097124,3.0635443
2019,11,"PNG","vwomen",".99959743",".48498294",".37881926",1.6203756
2019,11,"PNG","climate",3.6363637,1.361817,,
2019,11,"PNG","indigsov",4.2727275,1.2720778,,
2019,11,"PNG","indigland",3.3636363,1.361817,,
2019,11,"PNG","culture",4.181818,1.5374123,,
2020,21,"PNG","vchild",2.7884107,".39726767",2.2799079,3.2969134
2020,21,"PNG","vdisab",4.0612774,".56156474",3.3424745,4.7800803
2020,21,"PNG","vmvpfaff",4.0568523,".65837753",3.2141292,4.8995757
2020,21,"PNG","vwomen",1.7129517,".34122285",1.2761865,2.1497169
2020,21,"PNG","climate",3.9523809,1.2835962,,
2020,21,"PNG","indigsov",3.9523809,1.5644869,,
2020,21,"PNG","indigland",4.2857141,1.4192554,,
2020,21,"PNG","culture",5,1.1401755,,
