year,country_code,metric_code,mean,sd,lobound_10,upbound_90
2021,COD,dpex,10,0,10,10
2018,COK,dpex,10,0,10,10
2019,COK,dpex,10,0,10,10
2020,COK,dpex,10,0,10,10
2021,COK,dpex,10,0,10,10
2017,FJI,dpex,10,0,10,10
2018,FJI,dpex,10,0,10,10
2019,FJI,dpex,10,0,10,10
2020,FJI,dpex,10,0,10,10
2021,FJI,dpex,10,0,10,10
2019,FSM,dpex,10,0,10,10
2020,FSM,dpex,10,0,10,10
2017,GBR,dpex,10,0,10,10
2018,GBR,dpex,10,0,10,10
2019,GBR,dpex,10,0,10,10
2020,GBR,dpex,10,0,10,10
2021,GBR,dpex,10,0,10,10
2018,GUM,dpex,10,0,10,10
2019,GUM,dpex,10,0,10,10
2020,GUM,dpex,10,0,10,10
2019,HKG,dpex,10,0,10,10
2020,HKG,dpex,10,0,10,10
2021,HKG,dpex,10,0,10,10
2020,IND,dpex,7.3483534,.34376115,6.908339,7.7883677
2021,IND,dpex,10,0,10,10
2017,JOR,dpex,8.175909,1.0498799,6.8320627,9.5197554
2018,JOR,dpex,8.8163261,.47344545,8.2103157,9.4223366
2019,JOR,dpex,9.3492584,.46779132,8.7504854,9.9480314
2020,JOR,dpex,7.4309249,.88894874,6.2930703,8.568779
2021,JOR,dpex,10,0,10,10
2017,KAZ,dpex,10,0,10,10
2018,KAZ,dpex,10,0,10,10
2019,KAZ,dpex,10,0,10,10
2020,KAZ,dpex,10,0,10,10
2021,KAZ,dpex,10,0,10,10
2017,KGZ,dpex,10,0,10,10
2018,KGZ,dpex,10,0,10,10
2019,KGZ,dpex,10,0,10,10
2020,KGZ,dpex,10,0,10,10
2021,KGZ,dpex,10,0,10,10
2019,KIR,dpex,10,0,10,10
2020,KIR,dpex,10,0,10,10
2021,KIR,dpex,10,0,10,10
2017,KOR,dpex,10,0,10,10
2018,KOR,dpex,10,0,10,10
2019,KOR,dpex,10,0,10,10
2020,KOR,dpex,10,0,10,10
2021,KOR,dpex,10,0,10,10
2017,LBR,dpex,10,0,10,10
2018,LBR,dpex,10,0,10,10
2019,LBR,dpex,10,0,10,10
2020,LBR,dpex,10,0,10,10
2021,LBR,dpex,10,0,10,10
2017,MEX,dpex,10,0,10,10
2018,MEX,dpex,10,0,10,10
2019,MEX,dpex,10,0,10,10
2020,MEX,dpex,10,0,10,10
2021,MEX,dpex,10,0,10,10
2019,MHL,dpex,10,0,10,10
2020,MHL,dpex,10,0,10,10
2017,MOZ,dpex,10,0,10,10
2018,MOZ,dpex,10,0,10,10
2019,MOZ,dpex,10,0,10,10
2020,MOZ,dpex,10,0,10,10
2021,MOZ,dpex,10,0,10,10
2019,MYS,dpex,10,0,10,10
2020,MYS,dpex,10,0,10,10
2021,MYS,dpex,10,0,10,10
2018,NCL,dpex,10,0,10,10
2019,NCL,dpex,10,0,10,10
2020,NCL,dpex,10,0,10,10
2021,NCL,dpex,10,0,10,10
