year,resp_count,country_code,metric_code,mean,sd,lobound_10,upbound_90
2019,6,NIU,vchild,6.546041,1.6026497,4.4946494,8.5974331
2019,6,NIU,vdisab,7.7340441,1.5112348,5.7996635,9.6684246
2019,6,NIU,vmvpfaff,9.7500019,1.3634483,8.0047884,11.495215
2019,6,NIU,vwomen,6.6097918,1.4100947,4.8048706,8.4147129
2020,4,NIU,climate,3.25,1.5,,
2020,4,NIU,culture,4.25,0.95742708,,
2020,4,NIU,indigland,4.5,1,,
2020,4,NIU,indigsov,5,0.81649661,,
2020,4,NIU,vchild,7.2443728,1.0305192,5.9253082,8.5634375
2020,4,NIU,vdisab,8.8698273,1.1397269,7.4109769,10.328678
2020,4,NIU,vmvpfaff,8.440177,1.2439488,6.8479223,10.032432
2020,4,NIU,vwomen,7.3332272,1.2432082,5.7419205,8.9245338
2019,4,NMI,climate,4.25,1.7078252,,
2019,4,NMI,culture,3.5,1.9148542,,
2019,4,NMI,indigland,4,2.1602468,,
2019,4,NMI,indigsov,2,1.4142135,,
2019,4,NMI,vchild,3.4647067,1.1970191,1.9325222,4.996891
2019,4,NMI,vdisab,5.8773203,1.109365,4.4573331,7.2973075
2019,4,NMI,vmvpfaff,5.7855663,1.126189,4.3440442,7.2270885
2019,4,NMI,vwomen,2.3922002,1.1216602,0.95647514,3.8279254
2020,5,NMI,climate,3.8,1.7888544,,
2020,5,NMI,culture,4.4000001,1.3416408,,
2020,5,NMI,indigland,4.1999998,0.83666003,,
2020,5,NMI,indigsov,3.8,1.0954452,,
2020,5,NMI,vchild,4.6218657,1.0677691,3.2551215,5.9886103
2020,5,NMI,vdisab,5.721261,0.95530444,4.4984713,6.9440508
2020,5,NMI,vmvpfaff,5.4609504,1.405157,3.6623495,7.2595515
2020,5,NMI,vwomen,2.3796551,1.0789268,0.9986288,3.7606814
2019,5,NRU,climate,3.8,1.9235384,,
2019,5,NRU,culture,3.8,1.4832397,,
2019,5,NRU,indigland,4.4000001,1.5165751,,
2019,5,NRU,indigsov,4.1999998,1.4832397,,
2019,5,NRU,vchild,4.1736531,0.93581414,2.975811,5.3714952
2019,5,NRU,vdisab,3.6217229,1.0262614,2.3081083,4.9353375
2019,5,NRU,vmvpfaff,3.6805,1.706477,1.4962094,5.8647904
2019,5,NRU,vwomen,2.0084865,0.92319345,0.82679892,3.1901741
2020,4,NRU,climate,4.25,0.95742708,,
2020,4,NRU,culture,5,0.81649661,,
2020,4,NRU,indigland,4.75,0.5,,
2020,4,NRU,indigsov,4.25,0.95742708,,
2020,4,NRU,vchild,4.6453085,0.9024682,3.4901493,5.800468
2020,4,NRU,vdisab,5.9895201,0.75663024,5.0210333,6.9580069
2020,4,NRU,vmvpfaff,5.987781,0.7575413,5.0181284,6.9574337
2020,4,NRU,vwomen,4.6168103,0.89841133,3.4668438,5.766777
2019,30,NZL,climate,2.9333334,1.1724814,,
2019,30,NZL,culture,3.2333333,1.0726484,,
2019,30,NZL,indigland,2.8,1.1264837,,
2019,30,NZL,indigsov,2.3666666,0.80871689,,
2019,30,NZL,vchild,3.406388,0.32935023,2.9848197,3.8279564
2019,30,NZL,vdisab,4.174016,0.49856904,3.5358477,4.8121843
2019,30,NZL,vmvpfaff,4.0557156,0.37175417,3.5798702,4.5315609
2019,30,NZL,vwomen,3.1760881,0.23226972,2.8787827,3.4733934
2020,21,NZL,climate,2.7142856,1.146423,,
2020,21,NZL,culture,3.2380953,1.0910895,,
2020,21,NZL,indigland,2.9047618,0.94365048,,
2020,21,NZL,indigsov,2.6666667,1.01653,,
2020,21,NZL,vchild,4.033926,0.56807911,3.3067846,4.7610674
2020,21,NZL,vdisab,4.9133906,0.69847476,4.0193429,5.8074384
