country_code,metric_code,group,year,value,immediate_duty,immediate_duty_penalty,score_wrt_immediate_duty,global_best_penalty,score_wrt_global_best,immediate_duty_wrt_global_best,source_code
AFG,AdultSurvival,All,2011,75.47000122,83.39866384,0,86.65178288,0,71.48611281,82.49814422, 
AFG,AdultSurvival,All,2012,75.95359802,84.43647507,0,85.96397781,0,72.15777503,83.93954871, 
AFG,AdultSurvival,All,2013,76.37789917,84.66033871,0,86.34620295,0,72.74708218,84.25047043, 
AFG,AdultSurvival,All,2014,76.80220032,84.58439084,0,87.15479282,0,73.33638933,84.14498728, 
AFG,AdultSurvival,All,2015,77.22650146,84.39607598,0,88.1290723,0,73.92569648,83.88343886, 
AFG,AdultSurvival,All,2016,77.65080261,84.33290805,0,88.92460905,0,74.51500363,83.79570562, 
AFG,AdultSurvival,All,2017,78.07510376,84.34045944,0,89.61665898,0,75.10431078,83.80619366, 
AFG,AdultSurvival,All,2018,78.49569702,84.19945542,0,90.52523256,0,75.68846809,83.61035475, 
AFG,AdultSurvival,All,2019,78.86384583,84.37792733,0,90.86738855,0,76.19978587,83.8582324, 
AFG,AdultSurvival,Female,2007,75.69550323,81.94002508,0,89.22243849,0,70.81575786,79.36989737, 
AFG,AdultSurvival,Female,2008,76.16459656,82.17634591,0,89.66633386,0,71.45835145,79.69362454, 
AFG,AdultSurvival,Female,2009,76.63379669,84.49221404,0,87.00920859,0,72.10109136,82.86604663, 
AFG,AdultSurvival,Female,2010,77.10289764,85.75847041,0,85.98480061,0,72.7436954,84.6006444, 
AFG,AdultSurvival,Female,2011,77.5719986,85.44877519,0,87.1815564,0,73.38629945,84.17640436, 
AFG,AdultSurvival,Female,2012,78.04119873,86.40010215,0,86.60434337,0,74.02903936,85.47959199, 
AFG,AdultSurvival,Female,2013,78.46929932,86.60531048,0,87.0042795,0,74.61547852,85.76069929, 
AFG,AdultSurvival,Female,2014,78.8973999,86.5356916,0,87.78570844,0,75.20191767,85.66533096, 
AFG,AdultSurvival,Female,2015,79.32540131,86.36306965,0,88.71500652,0,75.78822097,85.42886253, 
AFG,AdultSurvival,Female,2016,79.75350189,86.30516571,0,89.48455759,0,76.37466013,85.34954207, 
AFG,AdultSurvival,Female,2017,80.18160248,86.31208782,0,90.1616435,0,76.96109928,85.35902441, 
AFG,AdultSurvival,Female,2018,80.74680328,86.18283414,0,91.25798795,0,77.73534696,85.18196457, 
AFG,AdultSurvival,Female,2019,81.1160965,86.34643339,0,91.61084828,0,78.24122808,85.40607313, 
AFG,AdultSurvival,Male,2007,71.37619781,76.20184782,0,90.755787,0,67.68028259,74.57406831, 
AFG,AdultSurvival,Male,2008,71.87419891,76.48113608,0,91.22172744,0,68.39171273,74.97305154, 
AFG,AdultSurvival,Male,2009,72.37210083,79.21807114,0,87.6019387,0,69.10300119,78.88295877, 
AFG,AdultSurvival,Male,2010,72.87010193,80.71455594,0,86.1685349,0,69.81443133,81.0207942, 
AFG,AdultSurvival,Male,2011,73.36799622,80.34855249,0,87.6118268,0,70.52570888,80.49793213, 
AFG,AdultSurvival,Male,2012,73.86599731,81.472848,0,86.76444452,0,71.23713902,82.10406857, 
AFG,AdultSurvival,Male,2013,74.28649902,81.71536693,0,87.1284403,0,71.83785575,82.45052419, 
AFG,AdultSurvival,Male,2014,74.70700073,81.63309008,0,87.98244318,0,72.43857247,82.33298582, 
AFG,AdultSurvival,Male,2015,75.12760162,81.42908231,0,89.02737005,0,73.03943089,82.04154616, 
AFG,AdultSurvival,Male,2016,75.54810333,81.36065039,0,89.86666466,0,73.64014762,81.94378627, 
AFG,AdultSurvival,Male,2017,75.96859741,81.36883106,0,90.58681597,0,74.24085345,81.95547294, 
AFG,AdultSurvival,Male,2018,76.24459839,81.21607671,0,91.31104647,0,74.63514056,81.73725244, 
AFG,AdultSurvival,Male,2019,76.61160278,81.40942128,0,91.6428029,0,75.15943255,82.01345896, 
AFG,BasicSanitation,All,2007,30.37464142,54.96829011,0,55.25847968,0,30.37464142,54.96829011, 
AFG,BasicSanitation,All,2008,31.87385368,55.98876645,0,56.92901577,0,31.87385368,55.98876645, 
